Name,CAS / ID,SDS Revision Date,SDS Verified At,Storage Location,GHS Signal Word,GHS Hazard Summary,Notes,Plant,SDS Overdue,Linked Permits,Linked Incidents
Anhydrous Ammonia (SCR),7664-41-7,2025-08-15,2025-08-15 10:30,NOx control skid — bulk tank,danger,H331 toxic if inhaled; H314 severe burns; H400 very toxic to aquatic life.,,Meridian North Plant,no,1,0
Carbon Black (bulk),1333-86-4,2026-03-12,2026-03-12 10:30,Product silos 1-4,warning,"H351 suspected of causing cancer (inhalation, poorly ventilated areas); combustible dust.",,Meridian North Plant,no,0,0
Diesel Fuel No. 2,68476-34-6,2022-05-09,,Mobile equipment fueling station,warning,H226 flammable liquid; H351 suspected carcinogen; H411 toxic to aquatic life.,,Meridian North Plant,yes,1,0
Hydraulic Oil AW-46,Mixture,2021-09-30,,"Lube room, rack B",,Prolonged skin contact may cause irritation.,,Meridian North Plant,yes,0,0
Isopropyl Alcohol 99% (lab),67-63-0,2026-02-18,2026-02-18 10:30,QC laboratory flammables cabinet,danger,H225 highly flammable liquid; H319 serious eye irritation; H336 drowsiness.,,Meridian North Plant,no,0,0
Multipurpose Lithium Grease,Mixture,,,"Lube room, rack A",,,,Meridian North Plant,yes,0,0
"Nitrogen, compressed",7727-37-9,2025-02-27,2025-02-27 10:30,"Bulk cryo tank, process area",warning,H280 gas under pressure; asphyxiant in confined spaces.,,Meridian North Plant,no,0,0
"Propane, compressed",74-98-6,2026-04-02,2026-04-02 10:30,"Cylinder cage, north dock",danger,H220 extremely flammable gas; H280 gas under pressure.,,Meridian North Plant,no,0,0
Sodium Hydroxide 50% Solution,1310-73-2,2025-11-04,2025-11-04 10:30,Tank farm — caustic tote area,danger,H314 causes severe skin burns and eye damage.,,Meridian North Plant,no,0,0
Sulfuric Acid 93%,7664-93-9,2026-01-20,2026-01-20 10:30,"Acid shed, secondary containment",danger,H314 causes severe skin burns and eye damage; H290 may be corrosive to metals.,,Meridian North Plant,no,0,0
